"geo_id","name","s1701_c01_001e","s1701_c03_001e"
"11001000101","Census Tract 1.01, District of Columbia, District of Columbia","1281","2.3"
"11001000102","Census Tract 1.02, District of Columbia, District of Columbia","3227","6.7"
"11001000201","Census Tract 2.01, District of Columbia, District of Columbia","67","19.4"
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia","3398","12.9"
"11001000300","Census Tract 3, District of Columbia, District of Columbia","5966","13.3"
"11001000400","Census Tract 4, District of Columbia, District of Columbia","1500","10.6"
"11001000501","Census Tract 5.01, District of Columbia, District of Columbia","3401","8.6"
"11001000502","Census Tract 5.02, District of Columbia, District of Columbia","3481","5.1"
"11001000600","Census Tract 6, District of Columbia, District of Columbia","4488","4.5"
"11001000702","Census Tract 7.02, District of Columbia, District of Columbia","2865","5.8"
"11001000703","Census Tract 7.03, District of Columbia, District of Columbia","3180","3.1"
"11001000704","Census Tract 7.04, District of Columbia, District of Columbia","2571","13.3"
"11001000802","Census Tract 8.02, District of Columbia, District of Columbia","3384","8.5"
"11001000803","Census Tract 8.03, District of Columbia, District of Columbia","2342","22.6"
"11001000804","Census Tract 8.04, District of Columbia, District of Columbia","3385","8.3"
"11001000902","Census Tract 9.02, District of Columbia, District of Columbia","2390","2.1"
"11001000903","Census Tract 9.03, District of Columbia, District of Columbia","1144","11.1"
"11001000904","Census Tract 9.04, District of Columbia, District of Columbia","3130","5.9"
"11001001002","Census Tract 10.02, District of Columbia, District of Columbia","3403","11.9"
"11001001003","Census Tract 10.03, District of Columbia, District of Columbia","2908","4.8"
"11001001004","Census Tract 10.04, District of Columbia, District of Columbia","4127","12.4"
"11001001100","Census Tract 11, District of Columbia, District of Columbia","4468","7.4"
"11001001200","Census Tract 12, District of Columbia, District of Columbia","5105","7.0"
"11001001301","Census Tract 13.01, District of Columbia, District of Columbia","4374","7.8"
"11001001303","Census Tract 13.03, District of Columbia, District of Columbia","3506","6.5"
"11001001304","Census Tract 13.04, District of Columbia, District of Columbia","4477","7.2"
"11001001401","Census Tract 14.01, District of Columbia, District of Columbia","3474","5.3"
"11001001402","Census Tract 14.02, District of Columbia, District of Columbia","3479","5.0"
